,Date,"User acquisition (All users, All events, Per interval, Daily): All countries / regions",Notes,pull_date
313,3 Sept 2023,555,,2024-12-18
314,4 Sept 2023,687,,2024-12-18
315,5 Sept 2023,626,Roll-out of release: Started roll-out of 51 (1.4.0) at 100%.,2024-12-18
316,6 Sept 2023,620,,2024-12-18
317,7 Sept 2023,645,,2024-12-18
318,8 Sept 2023,678,,2024-12-18
319,9 Sept 2023,656,,2024-12-18
320,10 Sept 2023,505,,2024-12-18
321,11 Sept 2023,562,,2024-12-18
322,12 Sept 2023,425,,2024-12-18
323,13 Sept 2023,272,,2024-12-18
324,14 Sept 2023,227,,2024-12-18
325,15 Sept 2023,220,,2024-12-18
326,16 Sept 2023,270,,2024-12-18
327,17 Sept 2023,259,,2024-12-18
328,18 Sept 2023,284,Roll-out of release: Started roll-out of 53 (1.4.1) at 100%.,2024-12-18
329,19 Sept 2023,255,Roll-out of release: Started roll-out of 54 (1.4.1) at 100%.,2024-12-18
330,20 Sept 2023,230,,2024-12-18
331,21 Sept 2023,296,,2024-12-18
332,22 Sept 2023,299,,2024-12-18
333,23 Sept 2023,437,,2024-12-18
334,24 Sept 2023,405,,2024-12-18
335,25 Sept 2023,424,Roll-out of release: Started roll-out of 55 (1.4.2) at 100%.,2024-12-18
336,26 Sept 2023,438,,2024-12-18
337,27 Sept 2023,378,,2024-12-18
338,28 Sept 2023,440,,2024-12-18
339,29 Sept 2023,411,,2024-12-18
340,30 Sept 2023,440,,2024-12-18
341,1 Oct 2023,396,,2024-12-18
342,2 Oct 2023,351,,2024-12-18
343,3 Oct 2023,292,,2024-12-18
344,4 Oct 2023,292,,2024-12-18
345,5 Oct 2023,329,,2024-12-18
346,6 Oct 2023,325,,2024-12-18
347,7 Oct 2023,366,,2024-12-18
348,8 Oct 2023,351,Roll-out of release: Started roll-out of 56 (1.4.3) at 100%.,2024-12-18
349,9 Oct 2023,396,,2024-12-18
350,10 Oct 2023,375,,2024-12-18
351,11 Oct 2023,405,,2024-12-18
352,12 Oct 2023,353,,2024-12-18
353,13 Oct 2023,389,,2024-12-18
354,14 Oct 2023,363,,2024-12-18
355,15 Oct 2023,350,,2024-12-18
356,16 Oct 2023,468,,2024-12-18
357,17 Oct 2023,461,,2024-12-18
358,18 Oct 2023,463,,2024-12-18
359,19 Oct 2023,433,,2024-12-18
360,20 Oct 2023,551,,2024-12-18
361,21 Oct 2023,575,,2024-12-18
362,22 Oct 2023,515,,2024-12-18
363,23 Oct 2023,529,,2024-12-18
364,24 Oct 2023,475,,2024-12-18
365,25 Oct 2023,469,Roll-out of release: Started roll-out of 57 (1.4.4) at 100%.,2024-12-18
366,26 Oct 2023,647,,2024-12-18
367,27 Oct 2023,486,,2024-12-18
368,28 Oct 2023,552,,2024-12-18
369,29 Oct 2023,580,,2024-12-18
370,30 Oct 2023,445,,2024-12-18
371,31 Oct 2023,493,,2024-12-18
372,1 Nov 2023,499,,2024-12-18
373,2 Nov 2023,641,,2024-12-18
374,3 Nov 2023,621,,2024-12-18
375,4 Nov 2023,591,,2024-12-18
376,5 Nov 2023,553,,2024-12-18
377,6 Nov 2023,530,,2024-12-18
378,7 Nov 2023,564,,2024-12-18
379,8 Nov 2023,500,,2024-12-18
380,9 Nov 2023,524,Roll-out of release: Started roll-out of 58 (1.4.5) at 100%.,2024-12-18
381,10 Nov 2023,468,,2024-12-18
382,11 Nov 2023,467,,2024-12-18
383,12 Nov 2023,425,,2024-12-18
384,13 Nov 2023,473,,2024-12-18
385,14 Nov 2023,503,,2024-12-18
386,15 Nov 2023,"1,075",,2024-12-18
387,16 Nov 2023,907,,2024-12-18
388,17 Nov 2023,"1,235",,2024-12-18
389,18 Nov 2023,"1,046",,2024-12-18
390,19 Nov 2023,"1,059",,2024-12-18
391,20 Nov 2023,"1,269",,2024-12-18
392,21 Nov 2023,"1,371",,2024-12-18
393,22 Nov 2023,894,,2024-12-18
394,23 Nov 2023,785,Roll-out of release: Started roll-out of 59 (1.4.6) at 100%.,2024-12-18
395,24 Nov 2023,756,,2024-12-18
396,25 Nov 2023,753,,2024-12-18
397,26 Nov 2023,677,,2024-12-18
398,27 Nov 2023,781,,2024-12-18
