,Category,Keywords,Search Vol,Backlinks,19-3-2023,26-3-2023,2-4-2023,9-4-2023,16-4-2023,23-4-2023,30-4-2023,7-5-2023,14-5-2023,21-5-2023,28-5-2023,4-6-2023,11-6-2023,18-6-2023,25-6-2023,2-7-2023,9-7-2023,16-7-2023,23-7-2023,30-7-2023,6-8-2023,13-8-2023,20-8-2023,27-8-2023,3-9-2023,10-9-2023,17-9-2023,24-9-2023,1-10-2023,8-10-2023,15-10-2023,22-10-2023,29-10-2023,5-11-2023,12-11-2023,19-11-2023,26-11-2023,3-12-2023,10-12-2023,17-12-2023,24-12-2023,31-12-2023,7-1-2024,14-1-2024,21-1-2024,28-1-2024,4-2-2024,11-2-2024,18-2-2024,25-2-2024,3-3-2024,10-3-2024,17-3-2024,24-3-2024,31-3-2024,7-4-2024,14-4-2024,21-4-2024,28-4-2024,5-5-2024,12-5-2024,19-5-2024,26-5-2024,2-6-2024,9-6-2024,16-6-2024,23-6-2024,30-6-2024,7-7-2024,14-7-2024,21-7-2024,28-7-2024,4-8-2024,11-8-2024,18-8-2024,25-8-2024,1-9-2024,8-9-2024,15-9-2024,22-9-2024,29-9-2024,6-10-2024,13-10-2024,20-10-2024,27-10-2024,3-11-2024,10-11-2024,17-11-2024,24-11-2024,1-12-2024,8-12-2024,Landing Page,pull_date
25,sains fiksi,novel sains,70,,-,-,-,,,,,-,27,-,-,21,20,21,19,28,22,22,37,14,14,14,16,15,12,11,11,12,12,29,27,35,28,18,17,16,14,11,12,12,13,10,11,11,11,12,13,15,14,15,54,47,50,79,81,80,76,49,43,43,-,-,63,55,37,40,41,34,43,40,35,45,39,31,44,27,35,31,32,29,35,32,36,26,30,28,32,30,21,28,23,https://gooddreamer.id/novel_sains_fiksi,2024-12-18
26,sains fiksi,novel sains fiksi,40,,-,-,-,,,,,-,-,-,-,-,23,26,28,31,27,26,38,17,27,17,14,13,19,18,17,15,16,27,14,11,28,13,10,14,9,10,9,10,11,10,10,13,11,12,11,12,14,13,13,21,16,19,14,16,16,16,19,18,-,95,53,42,34,35,34,38,37,35,31,34,14,31,30,7,28,8,8,8,11,9,8,8,8,9,9,8,8,6,7,https://gooddreamer.id/novel_sains_fiksi,2024-12-18
27,sains fiksi,novel tentang sains,20,,-,-,-,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,21,30,21,22,20,-,-,91,99,-,-,97,-,-,92,-,-,-,-,18,-,-,-,19,21,22,22,21,62,59,59,60,60,66,60,57,49,54,-,-,44,61,44,47,46,32,80,41,40,45,43,36,35,30,42,37,37,41,47,38,32,34,36,33,38,32,28,24,31,https://gooddreamer.id/novel_sains_fiksi,2024-12-18
28,sains fiksi,novel sains fiksi terbaik,10,,-,-,-,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,63,69,74,60,57,68,27,28,25,21,26,26,27,22,24,20,23,24,24,21,22,20,28,23,29,25,29,33,27,26,30,33,32,30,30,32,35,36,36,-,85,39,38,39,36,25,39,36,40,42,42,23,36,38,32,35,22,28,34,32,25,22,23,30,31,18,20,19,7,17,https://gooddreamer.id/novel_sains_fiksi,2024-12-18
29,sastra,novel sastra,"1,900",,-,-,-,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31,41,https://gooddreamer.id/blog/novel-sastra-indonesia,2024-12-18
30,sastra,novel sastrawan,"1,900",,-,-,-,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,76,https://gooddreamer.id/blog/novel-sastra-indonesia,2024-12-18
31,sastra,novel sastra best seller,140,,-,-,-,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37,32,31,https://gooddreamer.id/blog/novel-sastra-indonesia,2024-12-18
32,sastra,novel karya sastra,210,,-,-,-,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,97,-,https://gooddreamer.id/blog/novel-sastra-indonesia,2024-12-18
33,sastra,novel sastra terbaru,110,,-,-,-,,,,,-,-,-,-,-,-,-,-,80,-,-,90,-,91,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,65,https://gooddreamer.id/,2024-12-18
34,sastra,baca novel sastra,-,,-,-,-,,,,,90,-,-,17,46,19,55,19,27,32,52,71,72,88,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,96,91,39,46,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,73,70,49,76,63,40,4,https://gooddreamer.id/,2024-12-18
