,Date,Total Downloads,pull_date
309,3/27/24,10,2024-12-18
310,3/28/24,6,2024-12-18
311,3/29/24,4,2024-12-18
312,3/30/24,11,2024-12-18
313,3/31/24,7,2024-12-18
314,4/1/24,6,2024-12-18
315,4/2/24,10,2024-12-18
316,4/3/24,2,2024-12-18
317,4/4/24,2,2024-12-18
318,4/5/24,3,2024-12-18
319,4/6/24,3,2024-12-18
320,4/7/24,5,2024-12-18
321,4/8/24,3,2024-12-18
322,4/9/24,1,2024-12-18
323,4/10/24,1,2024-12-18
324,4/11/24,1,2024-12-18
325,4/12/24,1,2024-12-18
326,4/13/24,1,2024-12-18
327,4/14/24,0,2024-12-18
328,4/15/24,3,2024-12-18
329,4/16/24,4,2024-12-18
330,4/17/24,2,2024-12-18
331,4/18/24,4,2024-12-18
332,4/19/24,7,2024-12-18
333,4/20/24,2,2024-12-18
334,4/21/24,2,2024-12-18
335,4/22/24,3,2024-12-18
336,4/23/24,8,2024-12-18
337,4/24/24,6,2024-12-18
338,4/25/24,9,2024-12-18
339,4/26/24,6,2024-12-18
340,4/27/24,3,2024-12-18
341,4/28/24,5,2024-12-18
342,4/29/24,1,2024-12-18
343,4/30/24,5,2024-12-18
344,5/1/24,3,2024-12-18
345,5/2/24,8,2024-12-18
346,5/3/24,3,2024-12-18
347,5/4/24,9,2024-12-18
348,5/5/24,9,2024-12-18
349,5/6/24,2,2024-12-18
350,5/7/24,2,2024-12-18
351,5/8/24,5,2024-12-18
352,5/9/24,9,2024-12-18
353,5/10/24,5,2024-12-18
354,5/11/24,4,2024-12-18
355,5/12/24,3,2024-12-18
356,5/13/24,3,2024-12-18
357,5/14/24,7,2024-12-18
358,5/15/24,5,2024-12-18
359,5/16/24,1,2024-12-18
360,5/17/24,2,2024-12-18
361,5/18/24,4,2024-12-18
362,5/19/24,8,2024-12-18
363,5/20/24,3,2024-12-18
364,5/21/24,3,2024-12-18
365,5/22/24,4,2024-12-18
366,5/23/24,3,2024-12-18
367,5/24/24,4,2024-12-18
368,5/25/24,2,2024-12-18
369,5/26/24,4,2024-12-18
370,5/27/24,5,2024-12-18
371,5/28/24,6,2024-12-18
372,5/29/24,4,2024-12-18
373,5/30/24,2,2024-12-18
374,5/31/24,5,2024-12-18
375,6/1/24,5,2024-12-18
376,6/2/24,5,2024-12-18
377,6/3/24,4,2024-12-18
378,6/4/24,3,2024-12-18
379,6/5/24,6,2024-12-18
380,6/6/24,2,2024-12-18
381,6/7/24,2,2024-12-18
382,6/8/24,3,2024-12-18
383,6/9/24,2,2024-12-18
384,6/10/24,3,2024-12-18
385,6/11/24,5,2024-12-18
386,6/12/24,5,2024-12-18
387,6/13/24,2,2024-12-18
388,6/14/24,5,2024-12-18
389,6/15/24,5,2024-12-18
390,6/16/24,0,2024-12-18
391,6/17/24,2,2024-12-18
392,6/18/24,11,2024-12-18
393,6/19/24,4,2024-12-18
394,6/20/24,7,2024-12-18
395,6/21/24,7,2024-12-18
396,6/22/24,4,2024-12-18
397,6/23/24,2,2024-12-18
398,6/24/24,3,2024-12-18
399,6/25/24,2,2024-12-18
400,6/26/24,4,2024-12-18
401,6/27/24,4,2024-12-18
402,6/28/24,1,2024-12-18
403,6/29/24,6,2024-12-18
404,6/30/24,5,2024-12-18
405,7/1/24,2,2024-12-18
406,7/2/24,6,2024-12-18
407,7/3/24,5,2024-12-18
408,7/4/24,1,2024-12-18
409,7/5/24,2,2024-12-18
410,7/6/24,5,2024-12-18
411,7/7/24,3,2024-12-18
412,7/8/24,2,2024-12-18
413,7/9/24,2,2024-12-18
414,7/10/24,4,2024-12-18
415,7/11/24,7,2024-12-18
416,7/12/24,5,2024-12-18
417,7/13/24,4,2024-12-18
418,7/14/24,7,2024-12-18
419,7/15/24,2,2024-12-18
420,7/16/24,12,2024-12-18
421,7/17/24,5,2024-12-18
422,7/18/24,6,2024-12-18
423,7/19/24,6,2024-12-18
424,7/20/24,10,2024-12-18
425,7/21/24,6,2024-12-18
426,7/22/24,6,2024-12-18
427,7/23/24,4,2024-12-18
428,7/24/24,8,2024-12-18
429,7/25/24,8,2024-12-18
430,7/26/24,6,2024-12-18
431,7/27/24,5,2024-12-18
432,7/28/24,6,2024-12-18
433,7/29/24,2,2024-12-18
434,7/30/24,9,2024-12-18
435,7/31/24,7,2024-12-18
436,8/1/24,6,2024-12-18
437,8/2/24,3,2024-12-18
438,8/3/24,3,2024-12-18
439,8/4/24,2,2024-12-18
440,8/5/24,7,2024-12-18
441,8/6/24,4,2024-12-18
442,8/7/24,4,2024-12-18
443,8/8/24,1,2024-12-18
444,8/9/24,11,2024-12-18
445,8/10/24,5,2024-12-18
446,8/11/24,6,2024-12-18
447,8/12/24,12,2024-12-18
448,8/13/24,3,2024-12-18
449,8/14/24,2,2024-12-18
450,8/15/24,5,2024-12-18
451,8/16/24,2,2024-12-18
452,8/17/24,0,2024-12-18
453,8/18/24,4,2024-12-18
454,8/19/24,3,2024-12-18
455,8/20/24,4,2024-12-18
456,8/21/24,3,2024-12-18
457,8/22/24,5,2024-12-18
458,8/23/24,3,2024-12-18
459,8/24/24,4,2024-12-18
460,8/25/24,7,2024-12-18
461,8/26/24,7,2024-12-18
462,8/27/24,5,2024-12-18
463,8/28/24,6,2024-12-18
464,8/29/24,11,2024-12-18
465,8/30/24,4,2024-12-18
466,8/31/24,5,2024-12-18
467,9/1/24,3,2024-12-18
468,9/2/24,1,2024-12-18
469,9/3/24,6,2024-12-18
470,9/4/24,7,2024-12-18
471,9/5/24,3,2024-12-18
472,9/6/24,9,2024-12-18
473,9/7/24,4,2024-12-18
474,9/8/24,6,2024-12-18
475,9/9/24,3,2024-12-18
476,9/10/24,14,2024-12-18
477,9/11/24,7,2024-12-18
478,9/12/24,7,2024-12-18
479,9/13/24,9,2024-12-18
480,9/14/24,4,2024-12-18
481,9/15/24,7,2024-12-18
482,9/16/24,5,2024-12-18
483,9/17/24,10,2024-12-18
484,9/18/24,3,2024-12-18
485,9/19/24,6,2024-12-18
486,9/20/24,2,2024-12-18
487,9/21/24,3,2024-12-18
488,9/22/24,2,2024-12-18
489,9/23/24,7,2024-12-18
490,9/24/24,9,2024-12-18
491,9/25/24,6,2024-12-18
492,9/26/24,10,2024-12-18
493,9/27/24,3,2024-12-18
494,9/28/24,6,2024-12-18
495,9/29/24,8,2024-12-18
496,9/30/24,6,2024-12-18
497,10/1/24,7,2024-12-18
498,10/2/24,4,2024-12-18
499,10/3/24,4,2024-12-18
500,10/4/24,5,2024-12-18
501,10/5/24,8,2024-12-18
502,10/6/24,7,2024-12-18
503,10/7/24,8,2024-12-18
504,10/8/24,5,2024-12-18
505,10/9/24,4,2024-12-18
506,10/10/24,9,2024-12-18
507,10/11/24,9,2024-12-18
508,10/12/24,10,2024-12-18
509,10/13/24,8,2024-12-18
510,10/14/24,7,2024-12-18
511,10/15/24,9,2024-12-18
512,10/16/24,9,2024-12-18
513,10/17/24,3,2024-12-18
514,10/18/24,5,2024-12-18
515,10/19/24,5,2024-12-18
